  -0.031,   0.132,   1.043,  -0.180,   0.055,   0.452,   0.471,  -0.315,   0.636,   -4.393,   -2.010,   36.921,    0.405,    0.011,    0.911,   -0.078,0.8720278739929199
  -0.014,   0.190,   1.011,  -0.267,   0.068,   0.498,   0.428,  -0.364,   0.545,   -4.550,   -1.973,   36.990,    0.401,    0.010,    0.913,   -0.076,0.8885538578033447
   0.003,   0.197,   0.984,  -0.270,   0.333,   0.665,   0.435,  -0.343,   0.614,   -4.780,   -1.939,   37.045,    0.397,    0.009,    0.915,   -0.076,0.9053339958190918
  -0.098,   0.142,   1.012,  -0.157,  -0.180,   1.327,   0.449,  -0.322,   0.583,   -5.024,   -1.915,   37.173,    0.388,    0.008,    0.919,   -0.075,0.9225358963012695
  -0.001,   0.105,   1.186,  -0.276,  -1.067,   1.460,   0.420,  -0.385,   0.667,   -5.229,   -1.888,   37.269,    0.378,    0.013,    0.923,   -0.069,0.9387798309326172
   0.153,  -0.015,   1.273,  -0.743,   0.110,   1.242,   0.457,  -0.434,   0.621,   -5.314,   -1.967,   37.442,    0.358,    0.021,    0.932,   -0.053,0.9720978736877441
   0.094,   0.083,   1.148,  -1.820,   1.279,   0.488,   0.420,  -0.441,   0.598,   -5.186,   -1.928,   37.521,    0.351,    0.014,    0.935,   -0.039,0.9889528751373291
  -0.003,   0.220,   1.208,  -1.811,   1.320,  -0.007,   0.377,  -0.462,   0.576,   -5.019,   -1.662,   37.765,    0.350,   -0.000,    0.936,   -0.030,1.0051658153533936
  -0.005,   0.283,   1.273,  -1.388,   0.930,  -0.416,   0.362,  -0.448,   0.576,   -4.830,   -1.078,   37.946,    0.352,   -0.011,    0.936,   -0.024,1.0217959880828857
  -0.068,   0.237,   1.447,   0.168,   0.464,  -0.696,   0.413,  -0.462,   0.621,   -4.658,   -0.222,   38.124,    0.357,   -0.015,    0.934,   -0.028,1.0396158695220947
  -0.040,   0.202,   1.513,   1.385,   0.021,  -0.411,   0.413,  -0.434,   0.621,   -4.568,    0.833,   38.539,    0.361,   -0.011,    0.932,   -0.039,1.0555908679962158
   0.003,   0.168,   1.537,   1.591,   0.066,  -0.015,   0.399,  -0.469,   0.614,   -4.483,    1.994,   38.942,    0.362,   -0.006,    0.931,   -0.051,1.0720269680023193
   0.042,   0.171,   1.501,   1.618,   0.258,   0.294,   0.406,  -0.483,   0.614,   -4.392,    3.259,   39.345,    0.360,   -0.003,    0.931,   -0.064,1.0885050296783447
  -0.013,   0.130,   1.335,   1.623,   0.302,   0.478,   0.391,  -0.420,   0.606,   -4.243,    4.561,   39.781,    0.356,    0.002,    0.931,   -0.076,1.1064109802246094
  -0.025,   0.134,   1.224,   1.454,   0.320,   0.227,   0.406,  -0.406,   0.636,   -4.045,    5.933,   40.315,    0.353,    0.005,    0.932,   -0.087,1.1219468116760254
  -0.031,   0.153,   1.154,   1.399,   0.548,   0.072,   0.384,  -0.427,   0.682,   -3.777,    7.350,   40.831,    0.352,    0.006,    0.931,   -0.098,1.1388230323791504
  -0.074,   0.198,   1.092,   1.429,   1.040,  -0.199,   0.391,  -0.420,   0.621,   -3.449,    8.796,   41.258,    0.352,    0.003,    0.930,   -0.111,1.1550519466400146
  -0.012,   0.290,   0.992,   1.582,   0.804,  -0.614,   0.399,  -0.399,   0.682,   -3.079,   10.268,   41.733,    0.354,    0.002,    0.927,   -0.125,1.1719858646392822
  -0.129,   0.207,   1.028,   1.712,   0.750,  -0.616,   0.362,  -0.364,   0.689,   -2.678,   11.741,   42.204,    0.358,   -0.001,    0.923,   -0.140,1.1884410381317139
  -0.086,   0.092,   0.921,   1.805,   0.443,  -0.642,   0.348,  -0.350,   0.720,   -2.270,   13.088,   42.588,    0.362,   -0.001,    0.920,   -0.152,1.2051498889923096
  -0.171,   0.020,   0.769,   1.928,   0.699,  -0.396,   0.370,  -0.357,   0.742,   -1.907,   14.406,   43.155,    0.366,   -0.004,    0.917,   -0.161,1.2219648361206055
  -0.207,   0.036,   0.556,   1.975,   0.806,  -0.021,   0.355,  -0.294,   0.773,   -1.582,   15.547,   43.615,    0.368,   -0.012,    0.914,   -0.171,1.2385618686676025
  -0.266,   0.053,   0.410,   2.015,   0.263,   0.294,   0.377,  -0.245,   0.750,   -1.117,   17.254,   44.467,    0.367,   -0.024,    0.908,   -0.200,1.2724268436431885
  -0.310,   0.045,   0.266,   1.885,   0.048,   0.429,   0.391,  -0.259,   0.765,   -0.995,   17.785,   44.929,    0.369,   -0.042,    0.903,   -0.216,1.2888848781585693
  -0.319,   0.036,   0.188,   1.112,  -0.078,   0.443,   0.341,  -0.210,   0.788,   -0.977,   17.997,   45.256,    0.371,   -0.064,    0.897,   -0.231,1.3053839206695557
  -0.299,   0.058,   0.063,  -0.092,   0.098,   0.345,   0.348,  -0.245,   0.856,   -1.253,   17.282,   45.097,    0.370,   -0.091,    0.891,   -0.249,1.3385930061340332
  -0.288,   0.078,   0.038,  -0.680,   0.105,   0.337,   0.384,  -0.238,   0.848,   -1.559,   16.418,   44.767,    0.368,   -0.109,    0.888,   -0.254,1.3554739952087402
  -0.232,   0.171,   0.089,  -1.589,  -0.137,   0.412,   0.326,  -0.252,   0.803,   -1.978,   15.240,   44.237,    0.363,   -0.131,    0.883,   -0.268,1.372499942779541
  -0.142,   0.172,   0.155,  -2.204,  -0.477,   0.649,   0.399,  -0.308,   0.803,   -2.460,   13.791,   43.626,    0.355,   -0.137,    0.884,   -0.270,1.3886840343475342
  -0.102,   0.106,   0.123,  -2.920,  -0.916,   0.716,   0.348,  -0.315,   0.780,   -3.473,    9.711,   41.499,    0.339,   -0.137,    0.899,   -0.241,1.4229400157928467
